n372503	NONHSAT018549.2
n372524	NONHSAT021130.2
n372533	NONHSAT021676.2
n372578	NONHSAT023366.2
n372614	NONHSAT024217.2
n372674	NONHSAT018082.2
n372685	NONHSAT018481.2
n372718	NA
n372725	NONHSAT021908.2
n372769	NONHSAT023991.2
n372786	NA
n372815	NONHSAT018229.2
n372903	NA
n372916	NONHSAT027515.2
n372935	NONHSAT030759.2
n372944	NONHSAT026037.2
n372953	NONHSAT031489.2
n372986	NONHSAT027208.2
n372987	NONHSAT027210.2
n372993	NONHSAT027475.2
n373241	NONHSAT029233.2
n373361	NONHSAT031956.2
n373434	NA
n373555	NONHSAT033844.2
n373563	NONHSAT034478.2
n373575	NONHSAT034768.2
n373685	NONHSAT034588.2
n373706	NA
n373758	NONHSAT033848.2
n373787	NONHSAT034482.2
n373788	NONHSAT034483.2
n373790	NONHSAT034484.2
n373804	NA
n373805	NONHSAT034596.2
n373865	NONHSAT033296.2
n373886	NONHSAT033690.2
n373943	NONHSAT034955.2
n373957	NONHSAT035181.2
n374027	NONHSAT034726.2
n374061	NONHSAT037013.2
n374109	NONHSAT036115.2
n374138	NONHSAT036567.2
n374240	NONHSAT040327.2
n374487	NA
n374497	NONHSAT041796.2
n374499	NONHSAT042255.2
n374520	NONHSAT042416.2
n374530	NONHSAT043980.2
n374534	NONHSAT048175.2
n374536	NONHSAT040595.2
n374538	NONHSAT040685.2
n374604	NONHSAT041898.2
n374607	NONHSAT041927.2
n374652	NONHSAT047248.2
n374660	NA
n374751	NONHSAT041932.2
n374798	NONHSAT047700.2
n374801	NONHSAT047755.2
n374890	NONHSAT040988.2
n375021	NONHSAT141193.2
n375063	NA
n375097	NONHSAT141928.2
n375209	NA
n375212	NONHSAT147884.2
n375243	NONHSAT142011.2
n375244	NONHSAT142090.2
n375266	NONHSAT142607.2
n375267	NONHSAT142608.2
n375270	NA
n375299	NONHSAT143750.2
n375318	NA
n375340	NONHSAT144252.2
n375390	NONHSAT144274.2
n375399	NA
n375457	NONHSAT056598.2
n375459	NONHSAT055064.2
n375462	NA
n375473	NONHSAT145455.2
n375477	NONHSAT054915.2
n375478	NONHSAT054916.2
n375522	NONHSAT053069.2
n375526	NONHSAT054462.2
n375577	NONHSAT052944.2
n375578	NONHSAT052972.2
n375603	NA
n375625	NA
n375630	NONHSAT055515.2
n375659	NONHSAT056514.2
n375683	NONHSAT145832.2
n375703	NONHSAT053070.2
n375715	NONHSAT053518.2
n375744	NONHSAT055129.2
n375745	NONHSAT055127.2
n375746	NONHSAT055128.2
n375747	NONHSAT055124.2
n375748	NONHSAT055131.2
n375802	NONHSAT052714.2
n375854	NONHSAT056474.2
n375857	NONHSAT056826.2
n375935	NONHSAT058721.2
n375968	NA
n376010	NONHSAT057218.2
n376049	NONHSAT059173.2
n376188	NA
n376189	NONHSAT063996.2
n376203	NA
n376207	NONHSAT068135.2
n376215	NA
n376248	NONHSAT061441.2
n376275	NONHSAT063859.2
n376313	NONHSAT066035.2
n376314	NONHSAT066677.2
n376336	NONHSAT068138.2
n376366	NONHSAT063875.2
n376380	NONHSAT063971.2
n376381	NONHSAT063972.2
n376384	NONHSAT063975.2
n376398	NONHSAT063997.2
n376402	NONHSAT064111.2
n376403	NONHSAT064112.2
